Date,UPI Transactions,GST Revenue,Vehicle Sales,Housing Sales,Power Consumption
1/1/2023,8.04,18.76,1744562,20680.00,126.3
2/1/2023,7.53,18.24,1775424,20680.00,117.84
3/1/2023,8.68,19.22,1940714,20680.00,128.12
4/1/2023,8.89,22.43,1650500,21516.00,130.08
5/1/2023,9.41,19.15,1925982,21516.00,134.2
6/1/2023,9.34,19.36,1740796,21516.00,140.27
7/1/2023,9.96,19.73,1649651,23213.00,140.41
8/1/2023,10.59,19.12,1818647,23213.00,151.66
9/1/2023,10.56,19.42,1794913,23213.00,141.29
10/1/2023,11.41,20.45,2032658,25197.00,139.44
11/1/2023,11.24,20.18,2778415,25197.00,119.3
12/1/2023,12.02,19.26,1879306,25197.00,123.17
1/1/2024,12.2,20.13,2016095,24829.00,133.94
2/1/2024,12.1,19.93,1928645,24829.00,127.34
3/1/2024,13.44,20.9,2020535,24829.00,138.95
4/1/2024,13.3,24.85,2129802,26812.00,144.28
5/1/2024,14.04,20.71,1974503,26812.00,156.31
6/1/2024,13.89,20.77,1781948,26812.00,152.38
7/1/2024,14.44,21.83,1904513,24995.67,145.4
8/1/2024,14.96,20.88,1777283,24995.67,144.21
9/1/2024,15.04,20.6,1612176,24995.67,141.36
10/1/2024,16.58,22.28,2718637,24310.00,140.47
11/1/2024,15.48,21.29,3082386,24310.00,125.44
12/1/2024,16.73,20.45,1610456,24310.00,130.4
1/1/2025,17,23.15,2153650,21748.67,137.49
2/1/2025,16.11,21.5,1794860,21748.67,131.54
3/1/2025,18.3,23.18,2009656,21748.67,148.48
4/1/2025,17.89,27.98,2180046,22498.71,147.48
5/1/2025,18.68,23.46,2092210,23176.67,148.71
6/1/2025,18.4,21.54,1884446,23176.67,150.04
7/1/2025,19.47,22.87,1828880,22660.00,153.63
8/1/2025,20.01,21.17,1836150,22660.00,150.47
9/1/2025,19.63,21.48,1722438,22660.00,145.91
