Date,Highway construction actual,Railway line construction actual,Power T&D line constr (220KV plus),Cement price,GVA: construction (Basic Price),Budgetary allocation for infrastructure sector 
4/1/2017,673.22,127.4,1799,110.5,61947.63,0.32
5/1/2017,538.58,101.92,2228,113.7,86726.68,0.44
6/1/2017,673.22,127.4,2828,112.9,86726.68,0.38
7/1/2017,538.58,101.92,1511,111.3,64756.29,0.38
8/1/2017,538.58,101.92,1870,111.1,75549,0.13
9/1/2017,673.22,127.4,2315,110.9,86341.71,0.32
10/1/2017,942.51,178.36,569,109.2,71164.04,0.44
11/1/2017,1077.15,203.84,700,110.2,81330.33,0.38
12/1/2017,942.51,178.36,2416,111,91496.63,0.63
1/1/2018,942.51,178.36,811,111.2,86088.67,0.44
2/1/2018,942.51,178.36,2485,113.2,76523.26,0.44
3/1/2018,1346.44,254.79,3587,111.8,95654.07,0.63
4/1/2018,743.49,245,763,113.1,66145.79,0.38
5/1/2018,594.79,196,1343,113,92604.11,0.54
6/1/2018,743.49,245,1905,111.6,92604.11,0.46
7/1/2018,594.79,196,1168,113,68348.29,0.46
8/1/2018,594.79,196,2993,111.1,79739.67,0.15
9/1/2018,743.49,245,1760,111.4,91131.05,0.38
10/1/2018,1040.89,343,1867,110.7,76121.5,0.54
11/1/2018,1189.59,392,1435,110.3,86996,0.46
12/1/2018,1040.89,343,1740,111.5,97870.5,0.77
1/1/2019,1040.89,343,1347,112.7,91742.67,0.54
2/1/2019,1040.89,343,3248,116.1,81549.04,0.54
3/1/2019,1486.99,490,2868,116.4,101936.3,0.77
4/1/2019,701.16,152.47,474,119.6,68681.58,0.32
5/1/2019,560.93,121.97,977,123.2,96154.21,0.45
6/1/2019,701.16,152.47,659,122.5,96154.21,0.38
7/1/2019,560.93,121.97,1624,120.6,69091.43,0.38
8/1/2019,560.93,121.97,803,118.5,80606.67,0.13
9/1/2019,701.16,152.47,766,120.7,92121.9,0.32
10/1/2019,981.63,213.45,685,118.6,75537,0.45
11/1/2019,1121.86,243.95,1095,119.6,86328,0.38
12/1/2019,981.63,213.45,754,118.5,97119,0.64
1/1/2020,981.63,213.45,1757,118,93878.67,0.45
2/1/2020,981.63,213.45,632,119.8,83447.7,0.45
3/1/2020,1402.33,304.93,1438,119.7,104309.63,0.64
4/1/2020,210,162.33,509,123.3,37834.58,0.27
5/1/2020,637,129.86,190,124.6,52968.41,0.37
6/1/2020,976,162.33,392,123.2,52968.41,0.32
7/1/2020,787,129.86,1248,121.5,64736.05,0.32
8/1/2020,571,129.86,1172,119.7,75525.39,0.11
9/1/2020,770,162.33,4203,118.3,86314.73,0.27
10/1/2020,1005,227.26,380,117.8,84249.44,0.37
11/1/2020,1251,259.73,345,118.7,96285.07,0.32
12/1/2020,1560,227.26,655,118.1,108320.71,0.53
